"1. By clicking ""I Agree"" below, you acknowledge that you have read and understood this information, 18 or above and consent to participate in the survey under these terms.",2. What is your age range?,3. How would you describe your financial management skills?,"4. Have you used any budgeting apps before? If yes, which ones?",5. How easy was it to register for an account on the app?,6. How smooth was the login process?,7. Were the steps to connect your bank account clear and understandable?,8. How secure did you feel providing your bank account information?,9. How intuitive was the process of creating a new budget category?,10. Did the app provide sufficient options for budget customization?,"11. How helpful were the visual representations of budget progress (e.g., progress bars)?",12. How accurate was the automatic categorization of your transactions?,13. Did the app provide meaningful insights into your spending habits?,14. Did you receive timely notifications when your budget limits were approaching or exceeded?,15. How informative and actionable were the notification messages?,16. Did the notifications help you stay on track with your budget?,17. How easy was it to navigate to your profile settings?,18. Did the app provide sufficient options for customizing your profile and preferences?,19. How straightforward was the process of managing linked accounts?,20. How would you rate the overall user experience of the app?,21. Did the app meet your expectations for a budgeting and payment tool?,22. How likely are you to recommend this app to others?,23. What did you like most about the app?,24. What areas of the app do you think need improvement?,25. Do you have any additional features or suggestions you would like to see in future versions of the app?
I Agree,25-34,Beginner,mint,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Agree,Very helpful,Very accurate,Agree,Yes,Very informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Exceeded expectations,Very likely,Intuitive interface,More customization options,Goal setting
I Agree,35-44,Intermediate,YNAB,Easy,Smooth,Clear,Secure,Intuitive,Strongly agree,Helpful,Accurate,Strongly agree,Yes,Very informative and actionable,Agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Likely,Helpful visualizations,Additional integrations,Savings tracker
I Agree,18-24,Novice,no,Moderate,Very smooth,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Average,Neutral,Neutral,Accurate categorization,search filters,Investment tracking
I Agree,25-34,Advanced,PocketGuard,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,Accurate categorization,More customization options,Goal setting
I Agree,45-54,Beginner,no,Easy,Smooth,Clear,Secure,Intuitive,Agree,Helpful,Accurate,Agree,Yes,Informative and actionable,Agree,Easy,Agree,Straightforward,Good,Met expectations,Likely,Intuitive interface,Additional integrations,Savings tracker
I Agree,35-44,Intermediate,"Mint, YNAB",Very easy,Very smooth,Clear,Secure,Intuitive,Agree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Exceeded expectations,Very likely,"Helpful visualizations, Accurate categorization",More customization options,Investment tracking
I Agree,25-34,Beginner,no,Easy,Smooth,Very clear,Very secure,Very intuitive,Strongly agree,Helpful,Very accurate,Agree,Yes,Very informative and actionable,Agree,Easy,Strongly agree,Very straightforward,Good,Met expectations,Likely,Intuitive interface,search filters,
I Agree,18-24,Novice,PocketGuard,Moderate,Very smooth,Neutral,Secure,Intuitive,Agree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Exceeded expectations,Very likely,Helpful visualizations,More customization options,Goal setting
I Agree,45-54,Advanced,,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,"Intuitive interface, Accurate categorization",None,None
I Agree,25-34,Intermediate,Yes (Mint),Easy,Smooth,Clear,Secure,Intuitive,Agree,Helpful,Accurate,Agree,Yes,Informative and actionable,Agree,Easy,Agree,Straightforward,Good,Met expectations,Likely,Helpful visualizations," Additional integrations",Savings tracker
